Key,Title,Artist,Source,Album,Duration,FileName,Path,SameRecording,ReviewNotes,AcousticResult
el choclo,El choclo,Juan D'Arienzo / Instr.,TangoTimeTravel,"Todos de Juan D'Arienzo 1940-1949, Tango Time Travel 1",0:02:32,199 - El choclo.flac,M:\TangoTimeTravel\Todos de Juan D'Arienzo 1940-1949\199 - El choclo.flac,,,
el choclo,El choclo,Orquesta T├¡pica Victor / Instr.,TangoTimeTravel,"Todos de la Orquesta T├¡pica Victor 1925-1930, Tango Time Travel 11",0:02:46,163 - El choclo.flac,M:\TangoTimeTravel\Todos de la Orquesta T├¡pica Victor 1925-1930\163 - El choclo.flac,,,
el chupete,El Chupete,Instrumental,TangoSparks,TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69,0:02:53,El Chupete TS609.flac,M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\El Chupete TS609.flac,,,
el chupete,El chupete,An├¡bal Troilo / Instr.,TangoTimeTravel,"Todos de An├¡bal Troilo 1938-1945, Tango Time Travel 13",0:03:05,048 - El chupete.flac,M:\TangoTimeTravel\Anibal Troilo-1938-1945\048 - El chupete.flac,,,
el chupete,El chupete,Miguel Cal├│ / Instr.,TangoTimeTravel,"Miguel Cal├│ y Alberto Marino - Patio de Tango - LDB-126, Tango Time Travel 10",0:02:49,06 - El chupete.flac,M:\TangoTimeTravel\MIGUEL-CALO-LP-1967\06 - El chupete.flac,,,
el irresistible,El irresistible,Rodolfo Biagi / Instr.,TangoTimeTravel,"Todos de Rodolfo Biagi 1927-1948, Tango Time Travel 12",0:02:39,124 - El irresistible.flac,M:\TangoTimeTravel\Todos de Rodolfo Biagi  1927-1948\124 - El irresistible.flac,,,
el irresistible,El irresistible,Fernando D├¡az,TangoTunes,BAVE 66527 - 37098 A TangoTunes,0:02:31,El irresistible 66527_RP.aiff,M:\TangoTunes\LOMUTO-ALL\A000901-LOMUTO_DIAZ_AIF\El irresistible 66527_RP.aiff,,,
entre dos,Entre Dos,Instrumental,TangoSparks,TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69,0:03:19,Entre Dos TS609.flac,M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\Entre Dos TS609.flac,,,
entre dos,Entre dos,Miguel Cal├│ / Instr.,TangoTimeTravel,"Miguel Cal├│ y Alberto Marino - Patio de Tango - LDB-126, Tango Time Travel 10",0:03:16,12 - Entre dos.flac,M:\TangoTimeTravel\MIGUEL-CALO-LP-1967\12 - Entre dos.flac,,,
la cumparsita,La Cumparsita,Instrumental,TangoSparks,TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69,0:02:59,La Cumparsita TS609.flac,M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\La Cumparsita TS609.flac,,,
la cumparsita,La cumparsita,An├¡bal Troilo / Instr.,TangoTimeTravel,"Todos de An├¡bal Troilo 1938-1945, Tango Time Travel 13",0:02:40,081 - La cumparsita.flac,M:\TangoTimeTravel\Anibal Troilo-1938-1945\081 - La cumparsita.flac,,,
la cumparsita,La cumparsita,Carlos Di Sarli / Instr.,TangoTimeTravel,"Todos de Carlos Di Sarli en Music-Hall 1951-1954, Tango Time Travel 9",0:03:09,05 - La cumparsita.flac,M:\TangoTimeTravel\CARLOS DI SARLI 1951-1954\05 - La cumparsita.flac,,,
la cumparsita,La cumparsita,Juan D'Arienzo / Instr.,TangoTimeTravel,"Todos de Juan D'Arienzo 1940-1949, Tango Time Travel 1",0:03:30,095 - La cumparsita.flac,M:\TangoTimeTravel\Todos de Juan D'Arienzo 1940-1949\095 - La cumparsita.flac,,,
la cumparsita,La cumparsita,Orquesta T├¡pica Victor / Instr.,TangoTimeTravel,"Todos de la Orquesta T├¡pica Victor 1925-1930, Tango Time Travel 11",0:02:50,013 - La cumparsita.flac,M:\TangoTimeTravel\Todos de la Orquesta T├¡pica Victor 1925-1930\013 - La cumparsita.flac,,,
la cumparsita,La cumparsita,Pedro Laurenz / Instr.,TangoTimeTravel,"Todos de Pedro Laurenz 1937-1968, Tango Time Travel 5",0:03:21,068 - La cumparsita.flac,M:\TangoTimeTravel\PEDRO-LAURENZ-1937-1968-TTT5\3-44.1-16-FLAC-PEDRO-LAURENZ-1937-1968-TTT5\068 - La cumparsita.flac,,,
la cumparsita,La cumparsita,Rodolfo Biagi / Instr.,TangoTimeTravel,"Todos de Rodolfo Biagi 1927-1948, Tango Time Travel 12",0:03:21,071 - La cumparsita.flac,M:\TangoTimeTravel\Todos de Rodolfo Biagi  1927-1948\071 - La cumparsita.flac,,,
la cumparsita,La cumparsita,Rodolfo Biagi / Jorge Ortiz,TangoTimeTravel,"Todos de Rodolfo Biagi 1927-1948, Tango Time Travel 12",0:03:20,065 - La cumparsita.flac,M:\TangoTimeTravel\Todos de Rodolfo Biagi  1927-1948\065 - La cumparsita.flac,,,
lonjazos,Lonjazos,Rodolfo Biagi / Carlos Acu├▒a,TangoTimeTravel,"Todos de Rodolfo Biagi 1927-1948, Tango Time Travel 12",0:02:31,087 - Lonjazos.flac,M:\TangoTimeTravel\Todos de Rodolfo Biagi  1927-1948\087 - Lonjazos.flac,,,
lonjazos,Lonjazos,Fernando D├¡az,TangoTunes,BAVE 66932 - 37300 A TangoTunes,0:02:39,Lonjazos 66932_RP.aiff,M:\TangoTunes\LOMUTO-ALL\A000901-LOMUTO_DIAZ_AIF\Lonjazos 66932_RP.aiff,,,
nunca m s,Nunca m├ís,Juan D'Arienzo / H├⌐ctor Maur├⌐,TangoTimeTravel,"Todos de Juan D'Arienzo 1940-1949, Tango Time Travel 1",0:03:07,031 - Nunca ma╠üs.flac,M:\TangoTimeTravel\Todos de Juan D'Arienzo 1940-1949\031 - Nunca ma╠üs.flac,,,
nunca m s,Nunca m├ís,Alberto Hilarion Acu├▒a y Fernando D├¡az,TangoTunes,BAVE 60919 - 37041 B TangoTunes,0:02:46,Nunca mas 60919_RP.aiff,M:\TangoTunes\LOMUTO-ALL\A000901-LOMUTO_DIAZ_AIF\Nunca mas 60919_RP.aiff,,,
quiero verte una vez m s,Quiero verte una vez m├ís,Rodolfo Biagi / Jorge Ortiz,TangoTimeTravel,"Todos de Rodolfo Biagi 1927-1948, Tango Time Travel 12",0:03:03,033 - Quiero verte una vez mas.flac,M:\TangoTimeTravel\Todos de Rodolfo Biagi  1927-1948\033 - Quiero verte una vez mas.flac,,,
quiero verte una vez m s,Quiero verte una vez m├ís,Fernando D├¡az,TangoTunes,BAVE 39427 - 39056 B TangoTunes,0:02:32,Quiero verte una vez mas 39427_RP.aiff,M:\TangoTunes\LOMUTO-ALL\A000901-LOMUTO_DIAZ_AIF\Quiero verte una vez mas 39427_RP.aiff,,,
sans souci,Sans Souci,Instrumental,TangoSparks,TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69,0:03:07,Sans Souci TS609.flac,M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\Sans Souci TS609.flac,,,
sans souci,Sans souci,Juan D'Arienzo / Instr.,TangoTimeTravel,"Todos de Juan D'Arienzo 1940-1949, Tango Time Travel 1",0:02:30,069 - Sans souci.flac,M:\TangoTimeTravel\Todos de Juan D'Arienzo 1940-1949\069 - Sans souci.flac,,,
snobismo,Snobismo,Instrumental,TangoSparks,TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69,0:02:50,Snobismo TS609.flac,M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\Snobismo TS609.flac,,,
snobismo,Snobismo,Miguel Cal├│ / Instr.,TangoTimeTravel,"Miguel Cal├│ y Alberto Marino - Patio de Tango - LDB-126, Tango Time Travel 10",0:02:46,07 - Snobismo.flac,M:\TangoTimeTravel\MIGUEL-CALO-LP-1967\07 - Snobismo.flac,,,
sue o de juventud,Sue├▒o de juventud,Carlos Di Sarli / Oscar Serpa,TangoTimeTravel,"Todos de Carlos Di Sarli en Music-Hall 1951-1954, Tango Time Travel 9",0:02:18,26 - Sueno de juventud.flac,M:\TangoTimeTravel\CARLOS DI SARLI 1951-1954\26 - Sueno de juventud.flac,,,
sue o de juventud,Sue├▒o de juventud,Rodolfo Biagi / Carlos Acu├▒a,TangoTimeTravel,"Todos de Rodolfo Biagi 1927-1948, Tango Time Travel 12",0:02:42,089 - Sueno de juventud.flac,M:\TangoTimeTravel\Todos de Rodolfo Biagi  1927-1948\089 - Sueno de juventud.flac,,,
sue o de juventud,Sue├▒o de juventud,Fernando D├¡az,TangoTunes,BAVE 66501 - 37080 A TangoTunes,0:03:22,Sueno de juventud 66501_RP.aiff,M:\TangoTunes\LOMUTO-ALL\A000901-LOMUTO_DIAZ_AIF\Sueno de juventud 66501_RP.aiff,,,
tierra querida,Tierra Querida,Instrumental,TangoSparks,TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69,0:02:20,Tierra Querida TS609.flac,M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\Tierra Querida TS609.flac,,,
tierra querida,Tierra querida,Horacio Salg├ín / Instr.,TangoTimeTravel,"Todos de Horacio Salg├ín 1950-1957, Tango Time Travel 14",0:03:53,012 - Tierra querida.flac,M:\TangoTimeTravel\Horacio Salgan 1950-1957\012 - Tierra querida.flac,,,
uno,Uno,Instrumental,TangoSparks,TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69,0:03:46,Uno TS609.flac,M:\TangoSparks\TS 6.09 Miguel Calo╠ü Revitalized - Instrumental 1964-69 FLAC 96 24 stereo\Uno TS609.flac,,,
uno,Uno,An├¡bal Troilo / Alberto Marino,TangoTimeTravel,"Todos de An├¡bal Troilo 1938-1945, Tango Time Travel 13",0:03:35,068 - Uno.flac,M:\TangoTimeTravel\Anibal Troilo-1938-1945\068 - Uno.flac,,,
uno,Uno,Juan D'Arienzo / H├⌐ctor Maur├⌐,TangoTimeTravel,"Todos de Juan D'Arienzo 1940-1949, Tango Time Travel 1",0:03:20,091 - Uno.flac,M:\TangoTimeTravel\Todos de Juan D'Arienzo 1940-1949\091 - Uno.flac,,,
uno,Uno,Rodolfo Biagi / Carlos Acu├▒a,TangoTimeTravel,"Todos de Rodolfo Biagi 1927-1948, Tango Time Travel 12",0:03:28,088 - Uno.flac,M:\TangoTimeTravel\Todos de Rodolfo Biagi  1927-1948\088 - Uno.flac,,,
